2025-07-30 09:04:56 | bingx        | INFO     | Initializing DataPersistence
2025-07-30 09:04:56 | bingx        | INFO     | Parquet directory: bingx_data/parquet
2025-07-30 09:04:56 | bingx        | INFO     | Starting BingX Complete Client for BTC-USDT 3m
2025-07-30 09:04:56 | bingx        | INFO     | Starting historical backfill from API for 7 days
2025-07-30 09:04:57 | bingx        | INFO     | Processing chunk of 1000 historical candles
2025-07-30 09:04:57 | bingx        | INFO     | Flushing buffer with 100 items.
2025-07-30 09:04:57 | bingx        | INFO     | Flushed 100 records to Parquet dataset
2025-07-30 09:04:58 | bingx        | INFO     | Processing chunk of 1000 historical candles
2025-07-30 09:04:58 | bingx        | INFO     | Flushing buffer with 100 items.
2025-07-30 09:04:58 | bingx        | INFO     | Flushed 100 records to Parquet dataset
2025-07-30 09:04:58 | bingx        | INFO     | Processing chunk of 1000 historical candles
2025-07-30 09:04:58 | bingx        | INFO     | Flushing buffer with 100 items.
2025-07-30 09:04:58 | bingx        | INFO     | Flushed 100 records to Parquet dataset
2025-07-30 09:04:59 | bingx        | INFO     | Flushing buffer with 100 items.
2025-07-30 09:04:59 | bingx        | INFO     | Flushed 100 records to Parquet dataset
2025-07-30 09:04:59 | bingx        | INFO     | Processing chunk of 360 historical candles
2025-07-30 09:04:59 | bingx        | INFO     | Historical backfill complete: 3360 candles, 483 buckets
2025-07-30 09:04:59 | bingx        | INFO     | Checking for gaps in data...
2025-07-30 09:04:59 | bingx        | INFO     | Health check server started on http://localhost:37383
2025-07-30 09:04:59 | bingx        | INFO     | No gap detected
2025-07-30 09:04:59 | bingx        | INFO     | Connecting to wss://open-api-swap.bingx.com/swap-market
2025-07-30 09:05:00 | bingx        | INFO     | Subscribing to BTC-USDT 3m klines
2025-07-30 09:05:54 | bingx        | INFO     | Shutdown signal received
